id;relation;mots;mots_rel;Label
3128;(('NUM', 'TOPONYME'), ('nmod',));('01', 'rue', 'de', 'la République');('01', 'la République');0
3127;(('NUM', 'EG'), ('nmod',));('01', 'rue');('01', 'rue');1
361;(('NUM', 'TOPONYME'), ('flat:name',));('06000', 'NICE');('06000', 'NICE');0
374;(('NUM', 'TOPONYME'), ('flat:name',));('06000', 'NICE');('06000', 'NICE');0
3383;(('NUM', 'TOPONYME'), ('flat:name',));('06000', 'Nice');('06000', 'Nice');0
3851;(('NUM', 'TOPONYME'), ('flat:name',));('06000', 'nice');('06000', 'nice');0
852;(('NUM', 'TOPONYME'), ('appos',));('06200', ':', 'NICE');('06200', 'NICE');0
851;(('NUM', 'TOPONYME', 'EG'), ('appos', 'flat:name'));('06200', ':', 'NICE', 'OUEST');('06200', 'NICE', 'OUEST');0
5783;(('NUM', 'TOPONYME'), ('conj',));('06270', ',', 'Villeneuve Loubet');('06270', 'Villeneuve Loubet');0
2140;(('NUM', 'TOPONYME'), ('flat:name',));('06300', 'Nice');('06300', 'Nice');0
6355;(('NUM', 'TOPONYME'), ('flat:name',));('06300', 'Nice');('06300', 'Nice');0
2820;(('NUM', 'TOPONYME'), ('flat:name',));('06400', 'CANNES');('06400', 'CANNES');0
919;(('NUM', 'TOPONYME', 'EG'), ('flat:name', 'flat:name'));('06400', 'CANNES', 'QUAI');('06400', 'CANNES', 'QUAI');0
2821;(('NUM', 'TOPONYME'), ('appos',));('06400', 'CANNES', 'QUAI', 'ST PIERRE');('06400', 'ST PIERRE');0
1205;(('NUM', 'NUM', 'TOPONYME'), ('nmod', 'flat:name'));('0643', '52', 'Antibes');('0643', '52', 'Antibes');0
977;(('NUM', 'VERB', 'EG'), ('root', 'obl:mod'));('situé', 'la', 'dernière', 'de', 'l', 'immeuble', 'dans', 'la', 'porte', 'fermée', 'avec', 'copropriétaires', ',', 'à', 'côté', 'de', 'centre ville', 'de', 'Cros de Cagnes', ',', 'marché', 'et', '10', 'mn', 'à', 'pieds', 'à', 'le', 'bord', 'de', 'mer', 'et', 'la', 'gare', 'SNCF', ',', 'contactez', 'nous', '0668314503');('0668314503', 'situé', 'bord');0
1068;(('NUM', 'ET'), ('nmod',));('06700', ',', 'Saint Laurent de le Var', ',', 'à', 'le', 'calme', ',', 'en', 'limite');('06700', 'limite');0
1066;(('NUM', 'ET', 'EG'), ('nmod', 'nmod'));('06700', ',', 'Saint Laurent de le Var', ',', 'à', 'le', 'calme', ',', 'en', 'limite', 'de', 'le', 'quartier');('06700', 'limite', 'quartier');0
1067;(('NUM', 'TOPONYME'), ('conj',));('06700', ',', 'Saint Laurent de le Var');('06700', 'Saint Laurent de le Var');0
4974;(('NUM', 'NOUN', 'ET'), ('nmod', 'nmod'));('1', 'chambre', 'vue');('1', 'chambre', 'vue');0
6523;(('NUM', 'NOUN', 'TOPONYME'), ('flat:name', 'flat:name'));('1', 'PIÈCE', 'NICE');('1', 'PIÈCE', 'NICE');0
1653;(('NUM', 'EG'), ('nmod',));('10', 'à', 'pied', 'de', 'la', 'mer');('10', 'mer');0
4814;(('NUM', 'ET'), ('nmod',));('10', 'min');('10', 'min');1
6254;(('NUM', 'ET'), ('nmod',));('10', 'min');('10', 'min');1
6255;(('NUM', 'ET', 'ET'), ('nmod', 'nmod'));('10', 'min', 'coeur');('10', 'min', 'coeur');0
4810;(('NUM', 'ET', 'TOPONYME'), ('nmod', 'flat:name'));('10', 'min', 'Sophia Antipolis');('10', 'min', 'Sophia Antipolis');0
978;(('NUM', 'ET'), ('nmod',));('10', 'mn');('10', 'mn');1
4908;(('NUM', 'ET'), ('flat:name',));('10', 'MN');('10', 'MN');1
979;(('NUM', 'ET', 'MD'), ('nmod', 'nmod'));('10', 'mn', 'à', 'pieds');('10', 'mn', 'pieds');0
1656;(('NUM', 'MD'), ('nmod',));('10', 'à', 'pied');('10', 'pied');0
711;(('NUM', 'EG'), ('nmod',));('100', 'de', 'toutes', 'les', 'commodités');('100', 'commodités');0
712;(('NUM', 'EG', 'EG'), ('nmod', 'appos'));('100', 'de', 'toutes', 'les', 'commodités', 'commerces');('100', 'commodités', 'commerces');0
760;(('NUM', 'EG'), ('nmod',));('11', 'de', 'la', 'rue');('11', 'rue');1
761;(('NUM', 'EG', 'TOPONYME'), ('nmod', 'appos'));('11', 'de', 'la', 'rue', 'Jean André');('11', 'rue', 'Jean André');0
5394;(('NUM', 'TOPONYME'), ('nmod',));('12', 'rue', 'de', 'les', 'pêcheurs');('12', 'pêcheurs');0
5393;(('NUM', 'EG'), ('nmod',));('12', 'rue');('12', 'rue');1
1921;(('NUM', 'EG'), ('nmod',));('1276', 'avenue');('1276', 'avenue');1
1924;(('NUM', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('1276', 'avenue', 'de', 'Grasse');('1276', 'avenue', 'Grasse');0
4972;(('NUM', 'EG'), ('nmod',));('13', 'avenue');('13', 'avenue');1
4973;(('NUM', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('13', 'avenue', 'de', 'Flotte');('13', 'avenue', 'Flotte');0
1336;(('NUM', 'EG'), ('conj',));('13', 'm²', 'vue', 'jardins', 'et', 'mer');('13', 'mer');0
2137;(('NUM', 'EG'), ('nmod',));('15', 'avenue');('15', 'avenue');1
2139;(('NUM', 'EG', 'TOPONYME'), ('nmod', 'flat:name'));('15', 'avenue', 'Lympia');('15', 'avenue', 'Lympia');0
2221;(('NUM', 'EG'), ('nmod',));('16', 'AVENUE');('16', 'AVENUE');1
2229;(('NUM', 'EG', 'TOPONYME'), ('nmod', 'flat:name'));('16', 'AVENUE', 'ROBERT SOLEAU');('16', 'AVENUE', 'ROBERT SOLEAU');0
2301;(('NUM', 'EG'), ('nmod',));('19', 'impasse');('19', 'impasse');1
2303;(('NUM', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('19', 'impasse', 'de', 'la gaieté');('19', 'impasse', 'la gaieté');0
5595;(('NUM', 'ET'), ('nmod',));('19', 'm²', 'chacun', ',', 'à', 'proximité');('19', 'proximité');0
2074;(('NUM', 'EG'), ('nmod',));('1Km', 'de', 'le', 'centre ville');('1Km', 'centre ville');0
5876;(('NUM', 'EG'), ('conj',));('2', 'pièces', 'terrasse', 'Nice', 'Ouest', 'fac de lettreExclusivité', 'Fac de lettre', ',', 'boulevard');('2', 'boulevard');0
5878;(('NUM', 'EG', 'TOPONYME'), ('conj', 'appos'));('2', 'pièces', 'terrasse', 'Nice', 'Ouest', 'fac de lettreExclusivité', 'Fac de lettre', ',', 'boulevard', 'Édouard Herriot');('2', 'boulevard', 'Édouard Herriot');0
3921;(('NUM', 'TOPONYME'), ('nmod',));('2', 'rue', 'de', 'Gilette');('2', 'Gilette');0
5830;(('NUM', 'NOUN', 'EG'), ('nmod', 'appos'));('2', '3', 'Pièces', 'Promenade de', 'les Anglais', '2', '3', 'Pièces', 'spacieux', 'appartement', 'de', 'luxe', 'de', '75', 'mt2', 'dans', 'une', 'immeuble', 'de', 'prestige', '30', 'promenade');('2', 'immeuble', 'promenade');0
4500;(('NUM', 'NOUN', 'EG'), ('nmod', 'nmod'));('2', 'e', 'étage', 'd', 'une', 'maison', 'de', 'le', 'vieux village');('2', 'maison', 'vieux village');0
3797;(('NUM', 'ET'), ('nmod',));('2', 'mn');('2', 'mn');1
5862;(('NUM', 'TOPONYME'), ('conj',));('2', 'Pièces', 'Parc', 'Louisa', 'Mont Boron', 'vue', 'mer', 'terrasse', 'calmeExclusivité', ',', 'Nice');('2', 'Nice');0
5863;(('NUM', 'TOPONYME', 'TOPONYME'), ('conj', 'flat:name'));('2', 'Pièces', 'Parc', 'Louisa', 'Mont Boron', 'vue', 'mer', 'terrasse', 'calmeExclusivité', ',', 'Nice', 'Mont Boron');('2', 'Nice', 'Mont Boron');0
5361;(('NUM', 'NOUN', 'ET'), ('flat:name', 'flat:name'));('2', 'P', 'Vue');('2', 'P', 'Vue');0
142;(('NUM', 'ET'), ('nmod',));('2', 'pas');('2', 'pas');1
139;(('NUM', 'ET', 'EG'), ('nmod', 'nmod'));('2', 'pas', 'de', 'la', 'faculté');('2', 'pas', 'faculté');0
2486;(('NUM', 'NOUN', 'TOPONYME'), ('appos', 'appos'));('2', 'PIÈCES', 'CARRE D OR');('2', 'PIÈCES', 'CARRE D OR');0
6093;(('NUM', 'NOUN', 'TOPONYME'), ('nmod', 'appos'));('2', 'pièces', 'Antibes');('2', 'pièces', 'Antibes');0
2484;(('NUM', 'NOUN', 'EG'), ('appos', 'nmod'));('2', 'PIÈCES', 'CARRE D OR', 'Très', 'confortable', 'deux', 'pièces', 'en', 'plein', 'centre ville');('2', 'pièces', 'centre ville');0
141;(('NUM', 'NOUN', 'TOPONYME'), ('nmod', 'nmod'));('2', 'pièces', 'CHAMBRUN');('2', 'pièces', 'CHAMBRUN');0
1110;(('NUM', 'NOUN', 'TOPONYME'), ('nmod', 'appos'));('2', 'pièces', 'LES', 'DANYS');('2', 'pièces', 'DANYS');0
2488;(('NUM', 'NOUN', 'ET'), ('appos', 'nmod'));('2', 'PIÈCES', 'CARRE D OR', 'Très', 'confortable', 'deux', 'pièces', 'en', 'plein', 'centre ville', 'à', '200', 'mètres');('2', 'pièces', 'mètres');0
5861;(('NUM', 'NOUN', 'EG'), ('nmod', 'nmod'));('2', 'Pièces', 'Parc');('2', 'Pièces', 'Parc');0
3798;(('NUM', 'MD'), ('nmod',));('2', 'mn', 'a', 'pied');('2', 'pied');0
