id;relation;mots;mots_rel;Label
3320;(('TOPONYME', 'TOPONYME'), ('flat:name',));('AMEDEE VII', 'CONTE ROUGE');('AMEDEE VII', 'CONTE ROUGE');2
1433;(('TOPONYME', 'TOPONYME'), ('flat:name',));('AMEDEE VII', 'CONTE ROUGE');('AMEDEE VII', 'CONTE ROUGE');2
1717;(('TOPONYME', 'TOPONYME'), ('flat:name',));('Amiral de', 'Grasse');('Amiral de', 'Grasse');2
3604;(('TOPONYME', 'TOPONYME'), ('flat:name',));('Amiral de', 'Grasse');('Amiral de', 'Grasse');2
1440;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'CROIX ROUGE');('ANTIBES', 'CROIX ROUGE');2
3327;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'CROIX ROUGE');('ANTIBES', 'CROIX ROUGE');2
1669;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'Juan Flore');('ANTIBES', 'Juan Flore');2
3556;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'Juan Flore');('ANTIBES', 'Juan Flore');2
1295;(('TOPONYME', 'TOPONYME'), ('flat:name',));('Antibes', 'Jules Grec');('Antibes', 'Jules Grec');2
3182;(('TOPONYME', 'TOPONYME'), ('flat:name',));('Antibes', 'Jules Grec');('Antibes', 'Jules Grec');2
628;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'MOYENNES BREGUIERES');('ANTIBES', 'MOYENNES BREGUIERES');2
939;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'MOYENNES BREGUIERES');('ANTIBES', 'MOYENNES BREGUIERES');2
2515;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'MOYENNES BREGUIERES');('ANTIBES', 'MOYENNES BREGUIERES');2
2826;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'MOYENNES BREGUIERES');('ANTIBES', 'MOYENNES BREGUIERES');2
338;(('TOPONYME', 'TOPONYME'), ('flat:name',));('Antibes', 'Saint Jean');('Antibes', 'Saint Jean');2
1755;(('TOPONYME', 'TOPONYME'), ('flat:name',));('Antibes', 'Saint Jean');('Antibes', 'Saint Jean');2
2225;(('TOPONYME', 'TOPONYME'), ('flat:name',));('Antibes', 'Saint Jean');('Antibes', 'Saint Jean');2
3642;(('TOPONYME', 'TOPONYME'), ('flat:name',));('Antibes', 'Saint Jean');('Antibes', 'Saint Jean');2
4112;(('TOPONYME', 'TOPONYME'), ('flat:name',));('Antibes', 'Saint Jean');('Antibes', 'Saint Jean');2
204;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'SALIS');('ANTIBES', 'SALIS');2
1541;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'SALIS');('ANTIBES', 'SALIS');2
2091;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'SALIS');('ANTIBES', 'SALIS');2
3428;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'SALIS');('ANTIBES', 'SALIS');2
3978;(('TOPONYME', 'TOPONYME'), ('flat:name',));('ANTIBES', 'SALIS');('ANTIBES', 'SALIS');2
630;(('TOPONYME', 'TOPONYME'), ('appos',));('ANTIBES', 'VAL CLARET');('ANTIBES', 'VAL CLARET');2
937;(('TOPONYME', 'TOPONYME'), ('appos',));('ANTIBES', 'VAL CLARET');('ANTIBES', 'VAL CLARET');2
2517;(('TOPONYME', 'TOPONYME'), ('appos',));('ANTIBES', 'VAL CLARET');('ANTIBES', 'VAL CLARET');2
2824;(('TOPONYME', 'TOPONYME'), ('appos',));('ANTIBES', 'VAL CLARET');('ANTIBES', 'VAL CLARET');2
1341;(('EG', 'EG'), ('appos',));('Avenue', 'Pierre Dévoluy', ',', 'quartier');('Avenue', 'quartier');2
3228;(('EG', 'EG'), ('appos',));('Avenue', 'Pierre Dévoluy', ',', 'quartier');('Avenue', 'quartier');2
1339;(('EG', 'EG', 'TOPONYME'), ('appos', 'appos'));('Avenue', 'Pierre Dévoluy', ',', 'quartier', 'St Jacques');('Avenue', 'quartier', 'St Jacques');2
3226;(('EG', 'EG', 'TOPONYME'), ('appos', 'appos'));('Avenue', 'Pierre Dévoluy', ',', 'quartier', 'St Jacques');('Avenue', 'quartier', 'St Jacques');2
