id;relation;mots;mots_rel;Label
0;(('ET', 'EG', 'TOPONYME'), ('appos', 'flat:name'));('Proche', 'Fac', 'St Jean d Angely');('Proche', 'Fac', 'St Jean d Angely');0
1;(('ET', 'EG'), ('appos',));('Proche', 'Fac');('Proche', 'Fac');1
2;(('ET', 'EG', 'EG'), ('appos', 'conj'));('Proche', 'Fac', 'St Jean d Angely', ',', 'tramway');('Proche', 'Fac', 'tramway');1
3;(('ET', 'EG', 'EG'), ('appos', 'conj'));('Proche', 'Fac', 'St Jean d Angely', ',', 'tramway', ',', 'grande corniche');('Proche', 'Fac', 'grande corniche');1
4;(('ET', 'EG', 'EG'), ('appos', 'conj'));('Proche', 'Fac', 'St Jean d Angely', ',', 'tramway', ',', 'grande corniche', ',', 'gare');('Proche', 'Fac', 'gare');1
5;(('ET', 'EG', 'EG'), ('appos', 'conj'));('Proche', 'Fac', 'St Jean d Angely', ',', 'tramway', ',', 'grande corniche', ',', 'gare', 'de', 'Riquier', 'et', 'tous', 'commerces');('Proche', 'Fac', 'commerces');1
6;(('ET', 'EG'), ('obj',));('proche', 'toutes', 'commodités');('proche', 'commodités');1
7;(('ET', 'EG', 'EG'), ('obj', 'conj'));('proche', 'toutes', 'commodités', ',', 'transport');('proche', 'commodités', 'transport');1
8;(('ET', 'EG', 'EG'), ('obj', 'conj'));('proche', 'toutes', 'commodités', ',', 'transport', ',', 'axe routier');('proche', 'commodités', 'axe routier');1
9;(('ET', 'EG', 'TOPONYME'), ('appos', 'flat:name'));('Proche', 'fac', 'Saint Jean d Angely');('Proche', 'fac', 'Saint Jean d Angely');0
10;(('ET', 'EG', 'TOPONYME'), ('conj', 'nmod'));('Proche', 'fac', 'Saint Jean d Angely', ',', 'gare', 'de', 'Riquier');('Proche', 'gare', 'Riquier');0
11;(('ET', 'EG'), ('appos',));('Proche', 'fac');('Proche', 'fac');1
12;(('ET', 'EG'), ('conj',));('Proche', 'fac', 'Saint Jean d Angely', ',', 'gare');('Proche', 'gare');1
13;(('TOPONYME', 'ET'), ('amod',));('VIEUX NICE', 'proche');('VIEUX NICE', 'proche');0
14;(('ET', 'EG'), ('nmod',));('Proche', 'de', 'toutes', 'commodités');('Proche', 'commodités');1
15;(('ET', 'EG', 'EG'), ('nmod', 'appos'));('Proche', 'de', 'toutes', 'commodités', '(', 'supermarché');('Proche', 'commodités', 'supermarché');0
16;(('ET', 'TOPONYME'), ('nmod',));('pas', 'de', 'Monaco');('pas', 'Monaco');1
17;(('TOPONYME', 'ET'), ('flat:name',));('Beausoleil', 'proche');('Beausoleil', 'proche');1
18;(('EG', 'ET'), ('nmod',));('Emplacement', 'idéal', 'à', 'proximité');('Emplacement', 'proximité');1
19;(('EG', 'ET'), ('nmod',));('Emplacement', 'idéal', 'à', 'proximité', 'immédiate', 'de', 'les', 'escalators', 'de', 'le', 'marché', 'de', 'Beausoleil', ',', 'à', 'seulement', 'quelques', 'pas');('Emplacement', 'pas');1
20;(('ET', 'EG'), ('obl:arg',));('Proche', 'de', 'toutes', 'commodités');('Proche', 'commodités');1
21;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'la', 'plage');('minutes', 'plage');1
22;(('ET', 'EG'), ('nmod',));('mètres', 'de', 'la', 'plage');('mètres', 'plage');1
23;(('TOPONYME', 'ET'), ('nmod',));('Cannes', ',', 'Palm Beach', ',', 'à', 'quelques', 'mètres');('Cannes', 'mètres');1
24;(('ET', 'EG', 'TOPONYME'), ('obl:arg', 'appos'));('proche', 'de', 'la', 'Place', 'Saint François');('proche', 'Place', 'Saint François');0
25;(('ET', 'EG', 'TOPONYME'), ('obl:arg', 'appos'));('proche', 'de', 'la', 'Place', 'Massena');('proche', 'Place', 'Massena');0
26;(('ET', 'EG'), ('nmod',));('coeur', 'de', 'la', 'Vieille Ville');('coeur', 'Vieille Ville');1
27;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'la', 'Place');('proche', 'Place');1
28;(('ET', 'EG', 'EG'), ('obl:arg', 'appos'));('proche', 'de', 'la', 'Place', 'Saint François', ',', 'rue');('proche', 'Place', 'rue');1
29;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'la', 'vielle vielle');('vue', 'vielle vielle');1
30;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'la', 'Place');('proche', 'Place');1
31;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'la', 'Place', 'Massena', ',', 'la', 'coulée verte');('proche', 'Place', 'coulée verte');1
32;(('TOPONYME', 'ET'), ('nmod',));('VIEUX NICE', 'à', 'le', 'coeur');('VIEUX NICE', 'coeur');0
33;(('TOPONYME', 'ET'), ('amod',));('VIEUX NICE', 'à', 'le', 'coeur', 'de', 'la', 'Vieille Ville', ',', 'proche');('VIEUX NICE', 'proche');0
