id;relation;mots;mots_rel;Label
6;(('EG', 'MD'), ('nmod',));('bus', 'vers', 'centre ville', 'et', 'Monaco', 'à', 'les', 'pieds');('bus', 'pieds');1
155;(('EG', 'MD'), ('nmod',));('Courses à', 'pied');('Courses à', 'pied');0
208;(('EG', 'MD'), ('nmod',));('Ecoles', 'et', 'transports', 'à', 'les', 'pieds');('Ecoles', 'pieds');1
213;(('EG', 'MD'), ('nmod',));('commodités', 'à', 'vos', 'pieds');('commodités', 'pieds');1
81;(('MD', 'EG'), ('appos',));('pieds', 'de', 'l', 'immeuble', ',', 'centres universitaires');('pieds', 'centres universitaires');0
95;(('MD', 'EG'), ('conj',));('voiture', 'ou', 'en', 'bus');('voiture', 'bus');0
108;(('MD', 'EG'), ('nmod',));('pied', 'de', 'la', 'rue');('pied', 'rue');0
162;(('MD', 'EG'), ('nmod',));('pieds', 'de', 'les', 'commerces');('pieds', 'commerces');1
163;(('MD', 'EG'), ('nmod',));('pieds', 'de', 'les', 'commerces');('pieds', 'commerces');1
80;(('MD', 'EG'), ('nsubj',));('commodités', 'sont', 'à', 'les', 'pieds');('pieds', 'commodités');1
90;(('MD', 'EG'), ('nsubj',));('commerces', 'sont', 'à', 'les', 'pieds');('pieds', 'commerces');1
79;(('MD', 'ET'), ('conj',));('pieds', 'de', 'l', 'immeuble', ',', 'centres universitaires', ',', 'lignes de tram', 'et', 'à', 'seulement', '15', 'mn');('pieds', 'mn');0
15;(('EG', 'MD'), ('nmod',));('port', 'à', 'pied');('port', 'pied');1
17;(('EG', 'MD'), ('nmod',));('commerces', 'à', 'pied');('commerces', 'pied');1
21;(('EG', 'MD'), ('nmod',));('Village', 'à', 'pied');('Village', 'pied');1
22;(('EG', 'MD'), ('nmod',));('commodités', 'à', 'pieds');('commodités', 'pieds');1
23;(('EG', 'MD'), ('nmod',));('commerces', 'à', 'pied');('commerces', 'pied');1
26;(('EG', 'MD'), ('nmod',));('commerces', 'à', 'pied');('commerces', 'pied');1
39;(('EG', 'MD'), ('nmod',));('commerces', 'à', 'pied');('commerces', 'pied');1
44;(('EG', 'MD'), ('nmod',));('commerces', 'à', 'pied');('commerces', 'pied');1
45;(('EG', 'MD'), ('nmod',));('plages', 'à', 'pieds');('plages', 'pieds');1
46;(('EG', 'MD'), ('nmod',));('transports', 'à', 'pieds');('transports', 'pieds');1
55;(('EG', 'MD'), ('nmod',));('arrêt de bus', 'à', 'le', 'pied');('arrêt de bus', 'pied');1
60;(('EG', 'MD'), ('nmod',));('commerces', 'à', 'pieds');('commerces', 'pieds');1
63;(('EG', 'MD'), ('nmod',));('Commerces', 'et', 'centre ville', 'à', 'pied');('Commerces', 'pied');1
69;(('EG', 'MD'), ('nmod',));('gare SNCF', 'à', 'pied');('gare SNCF', 'pied');1
71;(('EG', 'MD'), ('nmod',));('secteur', 'résidentiel', 'et', 'calme', ',', 'à', 'pied');('secteur', 'pied');1
73;(('EG', 'MD'), ('nmod',));('secteur', 'résidentiel', 'et', 'calme', ',', 'à', 'pied');('secteur', 'pied');1
85;(('EG', 'MD'), ('nmod',));('commerces', 'à', 'pied');('commerces', 'pied');1
104;(('EG', 'MD'), ('nmod',));('rue', 'd', 'Antibes', 'à', 'pied');('rue', 'pied');1
107;(('EG', 'MD'), ('nmod',));('transports', 'à', 'pied');('transports', 'pied');1
124;(('EG', 'MD'), ('nmod',));('commodités', 'a', 'pied');('commodités', 'pied');1
164;(('EG', 'MD'), ('nmod',));('commodités', 'à', 'pieds');('commodités', 'pieds');1
168;(('EG', 'MD'), ('nmod',));('commerces', 'à', 'pied');('commerces', 'pied');1
197;(('EG', 'MD'), ('nmod',));('commerces', 'écoles', 'centre ville', 'à', 'pieds');('commerces', 'pieds');1
199;(('EG', 'MD'), ('nmod',));('Commerces', 'à', 'pieds');('Commerces', 'pieds');1
200;(('EG', 'MD'), ('nmod',));('commerces', 'à', 'pied');('commerces', 'pied');1
201;(('EG', 'MD'), ('nmod',));('commerces', 'à', 'pied');('commerces', 'pied');1
203;(('EG', 'MD'), ('nmod',));('gares', 'à', 'pieds');('gares', 'pieds');1
207;(('EG', 'MD'), ('nmod',));('plages', 'à', 'pied');('plages', 'pied');1
212;(('EG', 'MD'), ('nmod',));('Parkings publics', 'à', '2', 'mn', 'à', 'pied');('Parkings publics', 'pied');1
214;(('EG', 'MD'), ('nmod',));('pied', 'des', 'plages');('plages', 'pied');1
215;(('EG', 'MD'), ('nmod',));('commodités', 'à', 'pieds');('commodités', 'pieds');1
205;(('EG', 'MD'), ('root',));('pied', 'de', 'les', 'commodités');('commodités', 'pied');1
0;(('ET', 'MD'), ('nmod',));('minutes', 'à', 'pied');('minutes', 'pied');1
2;(('ET', 'MD'), ('nmod',));('minutes', 'à', 'pied');('minutes', 'pied');1
3;(('ET', 'MD'), ('nmod',));('min', 'à', 'pied');('min', 'pied');1
